"date","geography","geography code","Rural Urban","Hours Worked: All usual residents aged 16 to 74 in employment the week before the census; measures: Value","Hours Worked: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Males: Total; measures: Value","Hours Worked: Males: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Males: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Males: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Males: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Females: Total; measures: Value","Hours Worked: Females: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Females: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Females: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Females: Full-time: 49 or more hours worked; measures: Value"
"2011","Bradford","E08000032","Total",218937,19773,50552,127541,21071,119780,7332,18207,78077,16164,99157,12441,32345,49464,4907
"2011","Calderdale","E08000033","Total",96645,8160,20474,56992,11019,50682,2667,5294,34304,8417,45963,5493,15180,22688,2602
"2011","Kirklees","E08000034","Total",192397,18353,41433,110829,21782,104074,6342,12381,68406,16945,88323,12011,29052,42423,4837
"2011","Leeds","E08000035","Total",355225,34322,70354,211309,39240,184048,11998,18792,124133,29125,171177,22324,51562,87176,10115
"2011","Wakefield","E08000036","Total",151828,12132,31392,91624,16680,79789,3509,7008,56011,13261,72039,8623,24384,35613,3419
"2011","Derby","E06000015","Total",112422,10959,23440,66846,11177,59485,3603,6333,40808,8741,52937,7356,17107,26038,2436
"2011","Leicester","E06000016","Total",137494,14618,30928,80677,11271,74955,5542,11420,49410,8583,62539,9076,19508,31267,2688
"2011","Nottingham","E06000018","Total",123218,14021,26500,71333,11364,65595,5335,8720,42882,8658,57623,8686,17780,28451,2706
"2011","Rutland","E06000017","Total",18037,1944,3477,9405,3211,9885,666,911,5847,2461,8152,1278,2566,3558,750
"2011","Amber Valley","E07000032","Total",59381,5513,11530,34586,7752,31524,1386,2478,21451,6209,27857,4127,9052,13135,1543
"2011","Bolsover","E07000033","Total",34511,2951,6873,20398,4289,18328,790,1565,12516,3457,16183,2161,5308,7882,832
